52025-09-06 14:40:32,171 - INFO - Questions written successfully.
2025-09-06 14:40:32,173 - INFO - Question 8 added successfully.
2025-09-06 14:40:57,029 - INFO - Nested questions loaded successfully.
2025-09-06 14:42:10,536 - INFO - Exam completed for student sathwik (cisco). Score: 8/8
2025-09-06 14:43:33,124 - INFO - Nested questions loaded successfully.
2025-09-06 14:43:58,892 - INFO - Exam completed for student sathwik (cisco). Score: 3/8
2025-09-06 15:00:39,651 - INFO - Nested questions loaded successfully.
2025-09-06 15:00:39,658 - WARNING - Question 1 not found.
2025-09-06 15:00:39,660 - INFO - Questions written successfully.
2025-09-06 15:00:53,982 - INFO - Exam completed for student Test Student (Test University). Score: 1/1
2025-09-06 22:15:02,141 - ERROR - Error during exam: Load error
2025-09-06 22:15:02,142 - INFO - Exam completed for student Student (University). Score: 2/2
2025-09-06 22:15:02,144 - INFO - Exam completed for student Student (University). Score: 2/2
2025-09-06 22:15:02,145 - WARNING - No questions available for exam.
2025-09-06 22:15:02,146 - INFO - Exam completed for student Student (University). Score: 0/2
2025-09-06 22:16:15,181 - INFO - Question 1 deleted successfully.
2025-09-06 22:16:15,182 - WARNING - Delete failed. Question 3 not found.
2025-09-06 22:16:15,183 - INFO - Nested questions loaded successfully.
2025-09-06 22:16:15,184 - INFO - Question 1 modified successfully.
2025-09-06 22:16:15,185 - WARNING - Modify failed. Question 3 not found.
2025-09-06 22:16:15,191 - INFO - Question 1 found.
2025-09-06 22:16:15,192 - WARNING - Question 1 not found.
2025-09-06 22:16:15,194 - INFO - Questions written successfully.
2025-09-06 22:20:27,686 - INFO - Questions written successfully.
2025-09-06 22:20:27,686 - INFO - Question 9 added successfully.
2025-09-06 22:23:27,189 - INFO - Nested questions loaded successfully.
2025-09-06 22:23:43,234 - INFO - Exam completed for student Sai (cisco). Score: 2/9
2025-09-06 22:25:25,556 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-06 22:25:25,556 - INFO - Question 10 added successfully.
2025-09-06 22:25:37,209 - INFO - Nested questions loaded successfully.
2025-09-06 22:26:11,420 - INFO - Exam completed for student  (). Score: 8/9
2025-09-06 23:04:04,310 - INFO - Question 9 found.
2025-09-06 23:04:13,738 - INFO - Question 8 found.
2025-09-06 23:05:42,480 - INFO - Question 9 found.
2025-09-06 23:05:47,357 - WARNING - Question 10 not found.
2025-09-06 23:06:44,583 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-06 23:06:44,584 - INFO - Question 8 deleted successfully.
2025-09-06 23:06:52,044 - WARNING - Delete failed. Question 10 not found.
2025-09-06 23:10:29,943 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-06 23:10:29,943 - INFO - Question 7 modified successfully.
2025-09-06 23:11:09,238 - INFO - Displayed all questions successfully.
2025-09-06 23:11:42,377 - INFO - Displayed all questions successfully.
2025-09-06 23:12:33,085 - WARNING - Modify failed. Question 10 not found.
2025-09-06 23:17:14,231 - INFO - Displayed all questions successfully.
2025-09-06 23:20:47,742 - INFO - Nested questions loaded successfully.
2025-09-06 23:22:28,830 - INFO - Exam completed for student sai (cisco). Score: 8/9
2025-09-06 23:24:02,007 - INFO - Nested questions loaded successfully.
2025-09-06 23:24:37,432 - INFO - Exam completed for student Sathwik (cisco). Score: 6/9
2025-09-06 23:27:39,405 - INFO - Nested questions loaded successfully.
2025-09-06 23:28:14,255 - INFO - Exam completed for student  (). Score: 8/9
2025-09-06 23:32:04,663 - ERROR - Error creating nested questions: 'question'
2025-09-06 23:32:04,664 - WARNING - No questions available for exam.
2025-09-06 23:32:27,832 - INFO - Nested questions loaded successfully.
2025-09-06 23:32:48,023 - INFO - Exam completed for student sai2 (cisco pvt). Score: 2/9
2025-09-06 23:34:18,636 - ERROR - Error creating nested questions: 'option1'
2025-09-06 23:34:18,638 - WARNING - No questions available for exam.
2025-09-06 23:35:32,666 - INFO - Nested questions loaded successfully.
2025-09-06 23:36:16,499 - INFO - Exam completed for student dd (dwd). Score: 2/9
2025-09-06 23:36:40,313 - INFO - Nested questions loaded successfully.
2025-09-06 23:37:15,067 - INFO - Exam completed for student dws (sda). Score: 4/9
2025-09-06 23:39:31,593 - INFO - Nested questions loaded successfully.
2025-09-06 23:39:31,594 - WARNING - No questions available for exam.
2025-09-06 23:43:01,292 - INFO - Nested questions loaded successfully.
2025-09-06 23:44:35,601 - INFO - Nested questions loaded successfully.
2025-09-06 23:46:41,151 - INFO - Nested questions loaded successfully.
2025-09-06 23:49:01,491 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-06 23:49:01,493 - INFO - Question 10 added successfully.
2025-09-06 23:49:06,599 - INFO - Displayed all questions successfully.
